baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,y
795.9538318,-1.788160321,0.187952458,-9.513896996,1.84E-21,3.38E-20,0
41.39829511,-3.6005955,0.506104773,-7.114328285,1.12E-12,8.89E-12,0
353.8915365,0.964229248,0.186937304,5.158035501,2.50E-07,1.00E-06,0
1273.352581,0.917316465,0.117039889,7.837639593,4.59E-15,4.75E-14,0
414.4541023,6.696155062,0.425506499,15.73690432,8.45E-56,1.11E-53,0
296.3514506,4.582311479,0.430937217,10.63336213,2.08E-26,5.54E-25,0
895.7650496,2.001590197,0.232495704,8.609149162,7.36E-18,1.01E-16,0
9.475585587,1.958657213,0.858780877,2.280741532,0.022563746,0.038648661,0
133.187764,0.895808015,0.310925612,2.881100752,0.003962889,0.007980135,0
16.08619478,1.243978688,0.576477143,2.157897675,0.030935788,0.051221618,0
226.3512908,-4.337631943,0.680847402,-6.370931181,1.88E-10,1.13E-09,0
619.8176172,1.544467108,0.424540903,3.637970091,0.000274795,0.000684783,0
5.843254839,-2.572361679,0.703389641,-3.657093495,0.000255091,0.000639525,0
320.8914978,-7.841911252,0.544138354,-14.41161278,4.37E-47,3.77E-45,0
263.8830623,-1.680538665,0.317936352,-5.285770729,1.25E-07,5.22E-07,0
2303.449181,1.537585038,0.216247367,7.110306415,1.16E-12,9.14E-12,0
1707.344277,2.567631732,0.454320496,5.651586832,1.59E-08,7.49E-08,0
261.5329888,-2.337338109,0.659257585,-3.545409506,0.000392004,0.000951537,0
18.98581968,3.110492949,0.747733973,4.159892501,3.18E-05,9.29E-05,0
26.73161537,-2.175458533,0.743195034,-2.927170437,0.003420614,0.006967349,0
768.3939459,0.925591056,0.252817959,3.661096945,0.000251138,0.000630619,0
49.68702281,8.464308104,2.022969968,4.184099733,2.86E-05,8.41E-05,0
1842.644608,-1.46474457,0.156227139,-9.37573702,6.87E-21,1.20E-19,0
60.18905686,-4.61277047,0.587866316,-7.846631705,4.27E-15,4.44E-14,0
35.77450945,-2.399850723,0.422257199,-5.68338617,1.32E-08,6.28E-08,0
939.8007316,-2.0349411,0.219000291,-9.291956148,1.51E-20,2.57E-19,0
5779.9028,2.931082951,0.285686121,10.25980168,1.07E-24,2.51E-23,0
53.45484506,-1.462840695,0.300764112,-4.863747497,1.15E-06,4.21E-06,0
1369.011952,3.6375841,0.277927949,13.08822705,3.84E-39,2.27E-37,0
38.42737546,1.768401589,0.338956017,5.217200754,1.82E-07,7.42E-07,0
5.405628267,-1.813949689,0.535919474,-3.384743,0.000712449,0.001651599,0
67.0852486,-2.774227021,0.671595229,-4.130802161,3.61E-05,0.000104559,0
25.56262292,-1.425625631,0.410236371,-3.47513222,0.000510602,0.001214493,0
86.71043586,-9.835324236,0.580648747,-16.93850936,2.34E-64,4.39E-62,0
29.66362442,-2.039635013,0.581972098,-3.504695535,0.00045713,0.001096571,0
632.3017731,1.805625183,0.146954896,12.28693451,1.06E-34,4.88E-33,0
1468.575461,1.056552172,0.151321828,6.982153093,2.91E-12,2.18E-11,0
85.63370005,7.82157015,0.826962661,9.458190216,3.13E-21,5.66E-20,0
629.2637225,3.248102561,0.567374926,5.724790453,1.04E-08,4.99E-08,0
341.6444007,0.979514584,0.330955311,2.959658152,0.003079806,0.006331961,0
31.23707051,5.213315437,1.64031123,3.178247725,0.001481681,0.003238174,0
14.15818732,2.20908931,0.416170737,5.308132248,1.11E-07,4.66E-07,0
205.5742836,6.159986788,0.854793437,7.206403937,5.74E-13,4.68E-12,0
1080.791906,1.845394003,0.46368922,3.979807861,6.90E-05,0.000190662,0
2.456188916,4.118784008,1.983303139,2.076729435,0.037826538,0.061323069,0
50.06700158,-3.746460625,0.4835294,-7.748154767,9.32E-15,9.37E-14,0
411.724786,7.39228207,1.257009774,5.88084693,4.08E-09,2.07E-08,0
318.089078,1.06548627,0.234019459,4.55298151,5.29E-06,1.75E-05,0
269.6497021,5.395672927,0.42946189,12.56379914,3.34E-36,1.65E-34,0
5.153534894,5.187322495,1.058265827,4.901719739,9.50E-07,3.51E-06,0
11.0670926,-2.702640203,0.574925084,-4.700856296,2.59E-06,8.98E-06,0
88.93436029,8.582106911,1.230292673,6.975662864,3.04E-12,2.28E-11,0
1923.236763,11.2838536,0.649602489,17.37039773,1.38E-67,2.93E-65,0
3078.994675,-2.275143237,0.814944531,-2.791776804,0.00524195,0.010298033,0
